shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"3-109-mjp-1.4.R","-37.8131450947817","145.083801135292","17","3427.14"
"3-109-mjp-1.4.R","-37.8128739070915","145.081536253618","18","3628.37"
"3-109-mjp-1.4.R","-37.8121968623193","145.075942257224","19","4125.52"
"3-109-mjp-1.4.R","-37.811696498792","145.071797753564","20","4493.83"
"3-109-mjp-1.4.R","-37.8113210382533","145.068683739436","21","4770.55"
"3-109-mjp-1.4.R","-37.8108622386306","145.064890385616","22","5107.67"
"3-109-mjp-1.4.R","-37.8103905707833","145.060870236454","23","5464.71"
"3-109-mjp-1.4.R","-37.8100350872915","145.05789212179","24","5729.31"
"3-109-mjp-1.4.R","-37.8094597776688","145.053068305819","25","6157.88"
"3-109-mjp-1.4.R","-37.8090716223056","145.049761722775","26","6451.55"
"3-109-mjp-1.4.R","-37.808642822418","145.046183636985","27","6769.48"
"3-109-mjp-1.4.R","-37.8083600244068","145.043805761971","28","6980.74"
"3-109-mjp-1.4.R","-37.8082439580894","145.042786542955","29","7071.20"
"3-109-mjp-1.4.R","-37.8077271903311","145.038268103982","30","7472.29"
"3-109-mjp-1.4.R","-37.8077162909853","145.03815480643","31","7482.32"
"3-109-mjp-1.4.R","-37.807411718276","145.03556175909","32","7712.63"
"3-109-mjp-1.4.R","-37.806917247329","145.031315436892","33","8089.71"
"3-109-mjp-1.4.R","-37.8068537085084","145.030749201568","34","8139.95"
"3-109-mjp-1.4.R","-37.8068518098515","145.030635667461","35","8149.93"
"3-109-mjp-1.4.R","-37.807403619797","145.029144397409","36","8294.60"
"3-109-mjp-1.4.R","-37.8074551965761","145.028995365024","37","8308.89"
"3-109-mjp-1.4.R","-37.807480319749","145.028881111526","38","8319.31"
"3-109-mjp-1.4.R","-37.807542044358","145.028799960286","39","8329.21"
"3-109-mjp-1.4.R","-37.8100438407866","145.026438921635","40","8676.21"
"3-109-mjp-1.4.R","-37.8129268228981","145.023704057593","41","9076.82"
"3-109-mjp-1.5.R","-37.812796932247","145.020799527114","1","0.00"
"3-109-mjp-1.5.R","-37.8122120546516","145.016032899577","2","423.75"
"3-109-mjp-1.5.R","-37.8120003198111","145.01416429661","3","589.58"
"3-109-mjp-1.5.R","-37.8117193666059","145.013001829792","4","696.37"
"3-109-mjp-1.5.R","-37.8117092092825","145.012933947091","5","702.44"
"3-109-mjp-1.5.R","-37.8114006267734","145.010136517784","6","950.57"
"3-109-mjp-1.5.R","-37.8114000511698","145.010102455886","7","953.57"
"3-109-mjp-1.5.R","-37.811455621591","145.009657958012","8","993.10"
"3-109-mjp-1.5.R","-37.8112591126377","145.007629957534","9","1172.59"
